WinterRain,HarvestRain,GrowTemp,HarvestTemp,Age,USAlcConsump,Quality
566.4,165.5,5.248041775456921,14.39,63,7.85,6.195718421453603
653.3,75.6,4.360313315926895,17.64,62,8.03,8.269084260246839
504.3,129.5,5.300261096605745,17.13,60,7.84,6.922520188937986
390.8,110.4,2.7154046997388996,16.47,58,7.77,4.251104677738836
538.8,187,4.046997389033942,19.72,57,7.74,3.461450556148101
377,182.6,6.292428198433417,19.28,56,7.89,8.407740362639034
748.2,290.6,3.6553524804177586,16.18,55,8.02,2.4771445985067784
747.8,37.7,6.187989556,21.05,54,8.08,10
639.4,51.8,3.4203655352480364,17.86,53,8.13,5.788130428157853
326.5,96.1,6.161879895561353,19.43,51,8.46,5.488724668596677
548.4,266.6,1.1488250652741543,15.33,50,8.62,1.4600792320585105
734,85.2,4.020887728459526,18.82,49,8.78,7.145360353496875
646.9,118.1,3.2375979112271573,17.16,48,9.03,3.6999085783940275
508.6,292.1,2.872062663185381,16.77,47,9.28,1.4284625933262227
480.1,243.9,3.6031331592689253,16.89,46,9.53,1.8185281121438375
563.5,88.8,4.308093994778072,18.69,45,9.78,6.551119914673168
488.4,111.9,5.039164490861615,17.28,44,9.99,5.046853573061098
465.1,157.3,0,15.04,43,10.1,1.2814261770531776
357.2,122.6,5.587467362924281,18.5,42,10.37,2.9262532378485453
503.6,185.1,2.924281984334205,16.48,41,10.48,1.6212098125857084
501.8,170.5,5.117493472584856,17.75,40,10.58,5.422444004266341
380.6,246.7,6.710182767624019,16.6,39,10.44,4.771445985067804
755.2,87.3,1.6971279373368149,17.24,38,10.47,1.4863629437757124
621.5,50.6,2.271540469973892,17.77,37,10.64,5.018665244552794
600.3,121.5,3.211488250652741,17.83,36,10.83,4.135303977
550.7,74.2,2.7937336814621405,18.91,35,10.95,2.397531617
497.8,110.9,5.248041775456921,18.54,34,10.95,4.696785006856619
708.7,162.2,6.266318537859011,19.07,33,10.7,6.100106658540301
698.3,119.3,6.7885117493472595,18.57,32,10.46,8.628294987048603
572.6,144.8,3.759791122715406,16.24,31,10.22,2.5944689928386397
667.1,37.2,5.013054830287208,19.56,30,9.88,3.994362334298337
518.5,171.2,3.6031331592689253,17.86,29,9.75,3.4694499466707294
397,115.1,6.710182767624019,20.7,28,9.52,4.9946670729849165
734.2,58.8,6.214099216710177,18.05,27,9.3,5.318071004
282.4,85.2,8.746736292428198,18.4,26,9.09,6.565975926
380.6,80.4,9.164490861618798,19.35,25,9.08,9.821727868352884
519.8,182.5,7.336814621409915,20.7,24,8.57,3.775331403321652
487.8,341.6,7.127937336814619,17.34,23,8.47,0
445,278.9,5.848563969,16.67,22,8.25,0.9785921072680172
708,220,7.702349869451691,17.11,21,8.15,7.361343898
572,170.8,8.224543080939949,16.47,20,8.08,6.489791253999693
636.2,256,6.579634464751955,16.56,19,8.21,3.7162882827975006
460.5,112.2,10,19.96,18,8.07,7.8077860734420215
693.4,197,7.911227154046997,18.9,17,8.1,3.7699984763065664
502.4,253.4,9.921671018,20.05,16,8.17,6.009827822642084
487.8,69,9.033942558746734,19.45,15,8.24,8.811519122352578
